id,name,brand,image,Availability,price,final_price,chipset,socket,memory_type,m2_slots,form_factor,sata_ports,description_1,description_2
MOBO0489,MSI Mainboard MEG Z890 ACE,MSI,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767800381/MSI/MSI_Mainboard_MEG_Z890_ACE.webp,Avl,59700,67899,Z890,LGA1851,DDR5,5,ATX,6,The flagship MEG Z890 ACE features an elite power design and premium thermal solution. Optimized for extreme overclocking and next-gen WiFi 7.,Supports massive memory speeds and multiple Gen5 M.2 slots. Includes high-end ESS Audio and dual Thunderbolt 4 ports.
MOBO0490,MSI Mainboard MPG Z890 CARBON WIFI,MSI,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767800386/MSI/MSI_Mainboard_MPG_Z890_CARBON_WIFI.webp,Avl,42500,42925,Z890,LGA1851,DDR5,5,ATX,6,Carbon series brings a sleek aesthetic and high-performance VRM. Designed for the latest enthusiast processors with advanced connectivity.,Features lightning fast networking with 5G LAN and WiFi 7. Advanced RGB lighting with Mystic Light support.
MOBO0491,MSI Mainboard MPG Z890 EDGE TI WIFI,MSI,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767800387/MSI/MSI_Mainboard_MPG_Z890_EDGE_TI_WIFI.webp,Avl,35000,35350,Z890,LGA1851,DDR5,5,ATX,6,Powerful Z890 motherboard with a distinct white aesthetic. Offers incredible performance for both gaming and creative work.,Exceptional thermal design with enlarged heatsinks and heat pipes. Supports ultra-fast DDR5 memory and Gen5 storage.
MOBO0501,MSI Mainboard MPG Z890I EDGE TI WIFI,MSI,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767800388/MSI/MSI_Mainboard_MPG_Z890I_EDGE_TI_WIFI.webp,Avl,31600,31916,Z890,LGA1851,DDR5,2,Mini-ITX,4,Ultimate mini-ITX motherboard for small form factor enthusiasts. Packs Z890 power into a compact footprint without compromising on speed.,Includes robust networking and premium audio components. Perfect for high-end LAN party rigs or stealthy setups.
MOBO0484,MSI Mainboard MAG Z890 TOMAHAWK WIFI (ETASD20230807704),MSI,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767800379/MSI/MSI_Mainboard_MAG_Z890_TOMAHAWK_WIFI_ETASD20230807704.webp,Avl,26000,30694,Z890,LGA1851,DDR5,4,ATX,6,The legendary Tomahawk returns with Z890 power. Built for gamers who demand stability and all the essential features for modern gaming.,Features an industry-leading VRM design and extensive cooling. High-speed USB and networking for a lag-free experience.
MOBO0546,MSI Mainboard PRO Z890S WIFI PZ,MSI,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767800406/MSI/MSI_Mainboard_PRO_Z890S_WIFI_PZ.webp,Avl,20800,21008,Z890,LGA1851,DDR5,4,ATX (Back-connect),6,Project Zero edition with back-connect support for the ultimate clean build. Relocate cables to the back for professional-grade aesthetics.,Pro series reliability with next-gen Z890 features. Optimized for productivity and clean architectural PC designs.
MOBO0485,MSI Mainboard PRO Z890-A WIFI (ETASD20230807704),MSI,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767800405/MSI/MSI_Mainboard_PRO_Z890-A_WIFI_ETASD20230807704.webp,Avl,22600,22826,Z890,LGA1851,DDR5,4,ATX,6,The PRO Z890-A is a versatile workhorse for professionals and gamers. Reliable power delivery and wide compatibility for all components.,Focuses on longevity and performance stability. Includes the latest WiFi 7 and DDR5 support.
MOBO0496,MSI Mainboard PRO Z890S WIFI White,MSI,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767800407/MSI/MSI_Mainboard_PRO_Z890S_WIFI_White.webp,Avl,19500,19695,Z890,LGA1851,DDR5,4,ATX,6,A clean white Pro series board for modern workstation setups. Offers high-speed I/O and stable power for heavy multitasking.,Equipped with premium components and advanced cooling. The most accessible path to the new Z890 platform in white.
MOBO0412,MAG Z790 TOMAHAWK WIFI,MSI,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767800295/MSI/MAG_Z790_TOMAHAWK_WIFI.webp,Avl,25000,25250,Z790,LGA1700,DDR5,4,ATX,6,Stable and feature-rich LGA1700 motherboard for Intel 12th/13th/14th Gen. Trusted by millions for its durable build and performance.,Proven Tomahawk thermal design and high-quality power phases. Features multiple M.2 slots for expansive storage options.
MOBO0452,PRO Z790-A MAX WIFI,MSI,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767800435/MSI/PRO_Z790-A_MAX_WIFI.webp,Avl,22750,22977,Z790,LGA1700,DDR5,4,ATX,6,The MAX series brings enhanced features and more robust power delivery. An ideal choice for high-end productivity and gaming rigs.,Excellent I/O connectivity and latest WiFi 6E support. Built with a focus on long-term usage and professional reliability.
