Category Head,Hierarchy 2,Hierarchy 3,Strategic Pillar,Part Code,Product Name,MSP Rashi,MSP Supertron,MRP Rashi,MRP Supertron,Rashi Available,Supertron Available,GTM Matrix,Warranty,Remarks,Key Features,Short Description,Long Description,Final Price,Price Source,Lowest Online,Price Notes,Image
PW & Music,Pc Keyboards & Combos Group,Cordless Combos Type,Lifestyle,920-012187,Pebble 2 Combo - TONAL GRAPHITE - US - APANZ-122,3374,NA,5995,NA,YES,NO,Dual,1 Year,-,Keyboard and mouse bundle | Wireless connectivity | Long battery life | Comfortable design | Plug and play | Space-saving,Pebble 2 Combo GRAPHITE APANZ - Premium Logitech combo designed for comfort and performance.,"The Pebble 2 Combo GRAPHITE APANZ is a high-quality combo from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this combo delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",3441,MSP+2%,1099,MSP too high to undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794490/Logitech/Products/Pebble_2_Combo_-_TONAL_GRAPHITE_-_US_-_APANZ-122.webp
PW & Music,Pc Keyboards & Combos Group,Cordless Combos Type,Lifestyle,920-012191,Pebble 2 Combo - TONAL SAND - US - APANZ-122,3374,NA,5995,NA,YES,NO,Dual,1 Year,-,Keyboard and mouse bundle | Wireless connectivity | Long battery life | Comfortable design | Plug and play | Space-saving,Pebble 2 Combo SAND APANZ - Premium Logitech combo designed for comfort and performance.,"The Pebble 2 Combo SAND APANZ is a high-quality combo from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this combo delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",3441,MSP+2%,1199,MSP too high to undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794492/Logitech/Products/Pebble_2_Combo_-_TONAL_SAND_-_US_-_APANZ-122.webp
PW & Music,Pc Keyboards & Combos Group,Cordless Combos Type,Lifestyle,920-012190,Pebble 2 Combo - TONAL BLUE - US - APANZ-122,3374,NA,5995,NA,YES,NO,Dual,1 Year,-,Keyboard and mouse bundle | Wireless connectivity | Long battery life | Comfortable design | Plug and play | Space-saving,Pebble 2 Combo BLUE APANZ - Premium Logitech combo designed for comfort and performance.,"The Pebble 2 Combo BLUE APANZ is a high-quality combo from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this combo delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",4395,Amazon,4595,Undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794489/Logitech/Products/Pebble_2_Combo_-_TONAL_BLUE_-_US_-_APANZ-122.webp
PW & Music,Pc Keyboards & Combos Group,Cordless Combos Type,Lifestyle,920-012188,Pebble 2 Combo - TONAL WHITE - US - APANZ-122,3374,NA,5995,NA,YES,NO,Dual,1 Year,-,Keyboard and mouse bundle | Wireless connectivity | Long battery life | Comfortable design | Plug and play | Space-saving,Pebble 2 Combo WHITE APANZ - Premium Logitech combo designed for comfort and performance.,"The Pebble 2 Combo WHITE APANZ is a high-quality combo from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this combo delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",3441,MSP+2%,2999,MSP too high to undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794493/Logitech/Products/Pebble_2_Combo_-_TONAL_WHITE_-_US_-_APANZ-122.webp
PW & Music,Pc Keyboards & Combos Group,Cordless Combos Type,Lifestyle,920-012189,Pebble 2 Combo - TONAL ROSE - US - APANZ-122,3374,NA,5995,NA,YES,NO,Dual,1 Year,-,Keyboard and mouse bundle | Wireless connectivity | Long battery life | Comfortable design | Plug and play | Space-saving,Pebble 2 Combo ROSE APANZ - Premium Logitech combo designed for comfort and performance.,"The Pebble 2 Combo ROSE APANZ is a high-quality combo from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this combo delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",3441,MSP+2%,1199,MSP too high to undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794491/Logitech/Products/Pebble_2_Combo_-_TONAL_ROSE_-_US_-_APANZ-122.webp
PW & Music,Pc Keyboards & Combos Group,Cordless Combos Type,Mainstream Low End,920-008460,Logitech® Wireless Combo MK275 - N/A - US - APANZ-122,1355,1355,2495,2495,YES,YES,Offline,3 Years,-,Keyboard and mouse bundle | Wireless connectivity | Long battery life | Comfortable design | Plug and play | Space-saving,Logitech® Wireless Combo MK275 APANZ - Premium Logitech combo designed for comfort and performance.,"The Logitech® Wireless Combo MK275 APANZ is a high-quality combo from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this combo delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",1415,Amazon,1615,Undercut,
PW & Music,Pc Keyboards & Combos Group,Cordless Combos Type,Mainstream Low End,920-008202,MK240 Nano Wireless Keyboard and Mouse Combo - BLACK / CHARTREUSE - US - APANZ-122,1181,1181,2095,2095,YES,YES,Dual,3 Years,-,Keyboard and mouse bundle | Wireless connectivity | Long battery life | Comfortable design | Plug and play | Space-saving,MK240 Nano Wireless Keyboard and Mouse Combo / CHARTREUSE APANZ - Premium Logitech combo designed for comfort and performance.,"The MK240 Nano Wireless Keyboard and Mouse Combo / CHARTREUSE APANZ is a high-quality combo from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this combo delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",2799,Amazon,2999,Undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794461/Logitech/Products/MK240_Nano_Wireless_Keyboard_and_Mouse_Combo_-_BLACK_CHARTREUSE_-_US_-_APANZ-122.webp
PW & Music,Pc Keyboards & Combos Group,Cordless Combos Type,Mainstream Low End,920-008201,MK240 Nano Wireless Keyboard and Mouse Combo - WHITE / VIVID RED - US - APANZ-122,1181,1181,2095,2095,YES,YES,Dual,3 Years,-,Keyboard and mouse bundle | Wireless connectivity | Long battery life | Comfortable design | Plug and play | Space-saving,MK240 Nano Wireless Keyboard and Mouse Combo / VIVID RED APANZ - Premium Logitech combo designed for comfort and performance.,"The MK240 Nano Wireless Keyboard and Mouse Combo / VIVID RED APANZ is a high-quality combo from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this combo delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",1205,MSP+2%,629,MSP too high to undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794462/Logitech/Products/MK240_Nano_Wireless_Keyboard_and_Mouse_Combo_-_WHITE_VIVID_RED_-_US_-_APANZ-122.webp
PW & Music,Pc Keyboards & Combos Group,Cordless Combos Type,Mainstream Low End,920-007939,MK235 Wireless Keyboard and Mouse Combo - GREY - IND - APANZ-122,992,993,2095,2095,YES,YES,Dual,1 Year,Rashi for LFR only (Q1'FY26),Keyboard and mouse bundle | Wireless connectivity | Long battery life | Comfortable design | Plug and play | Space-saving,MK235 Wireless Keyboard and Mouse Combo APANZ - Premium Logitech combo designed for comfort and performance.,"The MK235 Wireless Keyboard and Mouse Combo APANZ is a high-quality combo from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this combo delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",999,Amazon,1099,Undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794460/Logitech/Products/MK235_Wireless_Keyboard_and_Mouse_Combo_-_GREY_-_IND_-_APANZ-122.webp
PW & Music,Pc Keyboards & Combos Group,Cordless Combos Type,Mainstream Low End,920-003554,Logitech® Wireless Combo MK220 - N/A - IND - APANZ-122,968,NA,1995,NA,YES,NO,Offline,3 Years,-,Keyboard and mouse bundle | Wireless connectivity | Long battery life | Comfortable design | Plug and play | Space-saving,Logitech® Wireless Combo MK220 APANZ - Premium Logitech combo designed for comfort and performance.,"The Logitech® Wireless Combo MK220 APANZ is a high-quality combo from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this combo delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",1599,Amazon,1799,Undercut,
PW & Music,Pc Keyboards & Combos Group,Cordless Combos Type,Mainstream Upsell,920-012926,Logitech Wireless Combo MK345 - BLACK - US - APANZ-122,1778,NA,3245,NA,YES,YES,Dual,1 Year,Open for both Rashi & Supertron (Q2'FY26),Keyboard and mouse bundle | Wireless connectivity | Long battery life | Comfortable design | Plug and play | Space-saving,Logitech Wireless Combo MK345 APANZ - Premium Logitech combo designed for comfort and performance.,"The Logitech Wireless Combo MK345 APANZ is a high-quality combo from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this combo delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",1814,MSP+2%,1199,MSP too high to undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794425/Logitech/Products/Logitech_Wireless_Combo_MK345_-_BLACK_-_US_-_APANZ-122.webp
