Category Head,Hierarchy 2,Hierarchy 3,Strategic Pillar,Part Code,Product Name,MSP Rashi,MSP Supertron,MRP Rashi,MRP Supertron,Rashi Available,Supertron Available,GTM Matrix,Warranty,Remarks,Key Features,Short Description,Long Description,Final Price,Price Source,Lowest Online,Price Notes,Image
PW & Music,Pointing Devices Group,Cordless Mice Type,Ergo,910-005449,Logitech MX Vertical Advanced Ergonomic mouse - GRAPHITE - LATA+AP-340,NA,NA,NA,NA,NO,NO,Dual,1 Year,-,Precision tracking | Ergonomic design | Wireless connectivity | Long battery life | Multi-device support | Programmable buttons,Logitech MX Vertical Advanced Ergonomic mouse +AP - Premium Logitech mouse designed for comfort and performance.,"The Logitech MX Vertical Advanced Ergonomic mouse +AP is a high-quality mouse from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this mouse delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",749,Amazon,849,Undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794411/Logitech/Products/Logitech_MX_Vertical_Advanced_Ergonomic_mouse_-_GRAPHITE_-_LATA_AP-340.webp
PW & Music,Pointing Devices Group,Cordless Mice Type,Ergo,910-006479,Logitech Lift Vertical Ergonomic Mouse - GRAPHITE / BLACK - APANZ-122,3870,3870,6995,6995,YES,YES,Dual,1 Year,-,Precision tracking | Ergonomic design | Wireless connectivity | Long battery life | Multi-device support | Programmable buttons,Logitech Lift Vertical Ergonomic Mouse / BLACK 122 - Premium Logitech mouse designed for comfort and performance.,"The Logitech Lift Vertical Ergonomic Mouse / BLACK 122 is a high-quality mouse from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this mouse delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",3947,MSP+2%,849,MSP too high to undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794390/Logitech/Products/Logitech_Lift_Vertical_Ergonomic_Mouse_-_GRAPHITE_BLACK_-_APANZ-122.webp
PW & Music,Pointing Devices Group,Cordless Mice Type,Ergo,910-006480,Logitech Lift Vertical Ergonomic Mouse - OFF-WHITE/PALE GREY - APANZ-122,3870,3870,6995,6995,YES,YES,Dual,1 Year,-,Precision tracking | Ergonomic design | Wireless connectivity | Long battery life | Multi-device support | Programmable buttons,Logitech Lift Vertical Ergonomic Mouse /PALE GREY 122 - Premium Logitech mouse designed for comfort and performance.,"The Logitech Lift Vertical Ergonomic Mouse /PALE GREY 122 is a high-quality mouse from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this mouse delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",3947,MSP+2%,849,MSP too high to undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794391/Logitech/Products/Logitech_Lift_Vertical_Ergonomic_Mouse_-_OFF-WHITE_PALE_GREY_-_APANZ-122.webp
PW & Music,Pointing Devices Group,Cordless Mice Type,Ergo,910-006481,Logitech Lift Vertical Ergonomic Mouse - ROSE/DARK ROSE - APANZ-122,3870,3870,6995,6995,YES,YES,Dual,1 Year,-,Precision tracking | Ergonomic design | Wireless connectivity | Long battery life | Multi-device support | Programmable buttons,Logitech Lift Vertical Ergonomic Mouse /DARK ROSE 122 - Premium Logitech mouse designed for comfort and performance.,"The Logitech Lift Vertical Ergonomic Mouse /DARK ROSE 122 is a high-quality mouse from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this mouse delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",3947,MSP+2%,849,MSP too high to undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794393/Logitech/Products/Logitech_Lift_Vertical_Ergonomic_Mouse_-_ROSE_DARK_ROSE_-_APANZ-122.webp
PW & Music,Pointing Devices Group,Cordless Mice Type,Lifestyle,910-006986,Pebble Mouse 2 M350s - TONAL WHITE - APANZ-122,1181,1181,2295,2295,YES,YES,Dual,1 Year,-,Precision tracking | Ergonomic design | Wireless connectivity | Long battery life | Multi-device support | Programmable buttons,Pebble Mouse 2 M350s WHITE 122 - Premium Logitech mouse designed for comfort and performance.,"The Pebble Mouse 2 M350s WHITE 122 is a high-quality mouse from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this mouse delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",1205,MSP+2%,499,MSP too high to undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794500/Logitech/Products/Pebble_Mouse_2_M350s_-_TONAL_WHITE_-_APANZ-122.webp
PW & Music,Pointing Devices Group,Cordless Mice Type,Lifestyle,910-006988,Pebble Mouse 2 M350s - TONAL GRAPHITE - APANZ-122,1181,1181,2295,2295,YES,YES,Dual,1 Year,-,Precision tracking | Ergonomic design | Wireless connectivity | Long battery life | Multi-device support | Programmable buttons,Pebble Mouse 2 M350s GRAPHITE 122 - Premium Logitech mouse designed for comfort and performance.,"The Pebble Mouse 2 M350s GRAPHITE 122 is a high-quality mouse from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this mouse delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",1205,MSP+2%,618,MSP too high to undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794498/Logitech/Products/Pebble_Mouse_2_M350s_-_TONAL_GRAPHITE_-_APANZ-122.webp
PW & Music,Pointing Devices Group,Cordless Mice Type,Lifestyle,910-006987,Pebble Mouse 2 M350s - TONAL ROSE - APANZ-122,1181,1181,2295,2295,YES,YES,Dual,1 Year,-,Precision tracking | Ergonomic design | Wireless connectivity | Long battery life | Multi-device support | Programmable buttons,Pebble Mouse 2 M350s ROSE 122 - Premium Logitech mouse designed for comfort and performance.,"The Pebble Mouse 2 M350s ROSE 122 is a high-quality mouse from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this mouse delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",1205,MSP+2%,499,MSP too high to undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794499/Logitech/Products/Pebble_Mouse_2_M350s_-_TONAL_ROSE_-_APANZ-122.webp
PW & Music,Pointing Devices Group,Cordless Mice Type,Lifestyle,910-007401,POP Mouse with emoji - GRAPHITE - APANZ-122,1786,1786,3595,3595,YES,YES,LFR,1 Year,Revised in (Q1'FY26),Precision tracking | Ergonomic design | Wireless connectivity | Long battery life | Multi-device support | Programmable buttons,POP Mouse with emoji 122 - Premium Logitech mouse designed for comfort and performance.,"The POP Mouse with emoji 122 is a high-quality mouse from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this mouse delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",1822,MSP+2%,603,MSP too high to undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794482/Logitech/Products/POP_Mouse_with_emoji_-_GRAPHITE_-_APANZ-122.webp
PW & Music,Pointing Devices Group,Cordless Mice Type,Lifestyle,910-007400,POP Mouse with emoji - OFF-WHITE - APANZ-122,1786,1786,3595,3595,YES,YES,LFR,1 Year,Revised in (Q1'FY26),Precision tracking | Ergonomic design | Wireless connectivity | Long battery life | Multi-device support | Programmable buttons,POP Mouse with emoji 122 - Premium Logitech mouse designed for comfort and performance.,"The POP Mouse with emoji 122 is a high-quality mouse from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this mouse delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",2099,Amazon,2299,Undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794483/Logitech/Products/POP_Mouse_with_emoji_-_OFF-WHITE_-_APANZ-122.webp
PW & Music,Pointing Devices Group,Cordless Mice Type,Mainstream Low End,910-007462,Logitech M196 Bluetooth Mouse - GRAPHITE - APANZ-122,NA,645,NA,1125,NO,YES,Dual,1 Year,Exclusive for Supertron (Q2'FY26),Precision tracking | Ergonomic design | Wireless connectivity | Long battery life | Multi-device support | Programmable buttons,Logitech M196 Bluetooth Mouse 122 - Premium Logitech mouse designed for comfort and performance.,"The Logitech M196 Bluetooth Mouse 122 is a high-quality mouse from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this mouse delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",658,MSP+2%,599,MSP too high to undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794393/Logitech/Products/Logitech_M196_Bluetooth_Mouse_-_GRAPHITE_-_APANZ-122.webp
PW & Music,Pointing Devices Group,Cordless Mice Type,Mainstream Low End,910-007463,Logitech M196 Bluetooth Mouse - OFF WHITE - APANZ-122,NA,645,NA,1125,NO,YES,Dual,1 Year,Exclusive for Supertron (Q2'FY26),Precision tracking | Ergonomic design | Wireless connectivity | Long battery life | Multi-device support | Programmable buttons,Logitech M196 Bluetooth Mouse - OFF WHITE 122 - Premium Logitech mouse designed for comfort and performance.,"The Logitech M196 Bluetooth Mouse - OFF WHITE 122 is a high-quality mouse from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this mouse delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",699,Amazon,799,Undercut,
