product_name,price,image,category,brand,model,description,stock
BenQ GW2283 21.5W Monitor,7140,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767451088/Monitor/GW2283.webp,monitor,BenQ,GW2283,"21.5"" IPS, FHD, Edge to Edge Slim Bezel Design, Brightness Intelligence, Eye Care, 2 HDMI (Black)",10
BenQ GW2491 24W Monitor,7548,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767451094/Monitor/GW2491.webp,monitor,BenQ,GW2491,"23.8” 1080p FHD 100Hz IPS Eye-Care Monitor, HDMI, DisplayPort, 4 side Ultrathin Bezel, TUV-Certified, Flicker-Free, Low Blue Light Plus, Eye-CareU (Black)",10
BenQ GW2490 24W Monitor,8058,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767451091/Monitor/GW2490.webp,monitor,BenQ,GW2490,"24"" FHD 1080p IPS, 100Hz, 99% sRGB,Eye-Care, Dual HDMI,Display Port, Ultra-Slim Bezel,VESA Mediasync B.I,Low Blue Light+,Speakers,VESA Wall Mountable (Black)",10
BenQ GW2490T 24W Monitor,10710,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767451093/Monitor/GW2490T.webp,monitor,BenQ,GW2490T,"24"" IPS, FHD 1080p,100Hz, 99% sRGB, Brightness Intelligence, Eye Care, Dual HDMI, DP, Height Adjustment stand (Black)",10
BenQ GW2486TC 24W Monitor,14790,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767451089/Monitor/GW2486TC.webp,monitor,BenQ,GW2486TC,"24"" Full HD 1080p USB-C Monitor(65W PD), 100Hz & Eye-Care Technology, Height Adjustment Stand, Noise Cancellation Microphone, Daisy Chain (White)",10
BenQ GW2791 27W Monitor,9588,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767451102/Monitor/GW2791.webp,monitor,BenQ,GW2791,"27” 1080p FHD 100Hz IPS Eye-Care Monitor, HDMI, DisplayPort, 4 side Ultrathin Bezel, TUV-Certified, Flicker-Free, Low Blue Light Plus, Eye-CareU (Black)",10
BenQ GW2790 27W Monitor,10098,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767451095/Monitor/GW2790.webp,monitor,BenQ,GW2790,"27"" 1080p IPS FHD,100Hz, 99% sRGB, Eye-Care,Dual HDMI,Display Port,Bezel-Less,VESA Mediasync B.I.Low Blue Light+, Speakers,VESA Wall Mountable (Black)",10
BenQ GW2790T 27W Monitor,12750,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767451100/Monitor/GW2790T.webp,monitor,BenQ,GW2790T,"27"" IPS, FHD,100Hz, 99% sRGB, Brightness Intelligence, Eye Care, Dual HDMI+DP+Height Adjustment stand, (Black)",10
BenQ GW2786TC 27W Monitor,17952,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767451095/Monitor/GW2786TC.webp,monitor,BenQ,GW2786TC,"27"" IPS Full HD 1080p USB-C Monitor(65W PD), 100Hz & Eye-Care Technology, Height Adjustment Stand, Noise Cancellation Microphone, Daisy Chain (White)",10
BenQ GW2790Q 27W Monitor,14382,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767451098/Monitor/GW2790Q.webp,monitor,BenQ,GW2790Q,"27""IPS QHD, 100Hz 99% sRGB , 1500:1 Contrast Ratio, built-in speakers, Dual HDMI 2.0, Eye-Care technologies to provide comfort and ease (Black)",10
BenQ GW2790QT 27W Monitor,24786,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767451100/Monitor/GW2790QT.webp,monitor,BenQ,GW2790QT,"27""IPS QHD USB-C (65W PD) Noise Filter Speakers with Noise Cancellation Microphone, USB Hub, Daisy Chain, 75Hz Refresh Rate (White)",10
BenQ GW3290QT 27W Monitor,31620,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767451103/Monitor/GW3290QT.webp,monitor,BenQ,GW3290QT,"27"" IPS QHD USB-C (65W PD) Noise Filter Speakers with Noise Cancellation Microphone, USB Hub, Daisy Chain, 75Hz Refresh Rate (White)",10
BenQ RD240Q 24W Monitor,31620,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767451123/Monitor/RD240Q.webp,monitor,BenQ,RD240Q,"24” IPS WQXGA, 95% P3 16:10 Aspect Ratio, 90W USB-C,Dual Coding Modes, Function Bar, Night Hours Protection, Daisy Chain, Display Pilot 2 (Dark Grey)",10
BenQ RD280U 28W Monitor,46410,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767451124/Monitor/RD280U.webp,monitor,BenQ,RD280U,"28” IPS 4K+, 95% P3 3:2 Aspect Ratio,3840x2560, Backlight,90WUSB-C, Nano Matte Panel, Dual Coding Modes, Night Hours Protection, Daisy Chain, KVM Switch, Display Pilot 2",10
BenQ RD280UA 28W Monitor,50184,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767451125/Monitor/RD280UA.webp,monitor,BenQ,RD280UA,"28” IPS 4K+, 95% P3 3:2 Aspect Ratio,3840x2560, Backlight, Ergo Arm, 90W USB-C, Nano Matte Panel, Dual Coding Modes, Night Hours Protection, Daisy Chain, KVM",10
BenQ RD320U 32W Monitor,58650,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767451126/Monitor/RD320U.webp,monitor,BenQ,RD320U,"S3w2”i tIcPhS, D4iKs p9l8a%y PP3, 2000:1 CR, Nano Matte Panel, Backlight,90WUSB-C, Dual Coding Modes, Night Hours Protection, Daisy Chain, KVM Switch, Display Pilot 2 (Dark Grey)",10
BenQ RD320UA 32W Monitor,63240,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767451127/Monitor/RD320UA.webp,monitor,BenQ,RD320UA,"32” IPS 4K 98% P3, 2000:1 CR, Nano Matte Panel, Backlight,90WUSB-C, Dual Coding Modes,Ergo-Arm, Night Hours Protection, Daisy Chain, KVM Switch (Dark Grey)",10
