Model,SRP,Landing_Price,Competitor_Price,Source,Final_Price,Reason,Timestamp
HP Omnibook Ultra  Flip 14-fh0368TU,202999,"₹190,819","₹186,499",Amazon/Retailers,"₹192,727",❌ Competitor below our cost - 1% markup,2026-01-05T16:15:36.886483
HP Omnibook Ultra  Flip 14-fh0369TU,217999,"₹204,919","₹205,490",IndiaMART,"₹205,390",✅ UNDERCUT by ₹100 (Margin: ₹471),2026-01-05T16:15:36.886502
HP Omnibook Ultra Flip 14-fh0029TU,197999,"₹186,119","₹180,000",Amazon,"₹187,980",❌ Competitor below our cost - 1% markup,2026-01-05T16:15:36.886522
HP Omnibook Ultra Flip 14-fh0046TU,197999,"₹186,119","₹181,999",Croma,"₹187,980",❌ Competitor below our cost - 1% markup,2026-01-05T16:15:36.886531
HP Omnibook Ultra Flip 14-fh0026TU,187999,"₹176,719","₹166,009",Amazon,"₹178,486",❌ Competitor below our cost - 1% markup,2026-01-05T16:15:36.886538
HP Omnibook X Flip 14-fm0029TU,149999,"₹140,999","₹128,990",Reliance Digital,"₹142,409",❌ Competitor below our cost - 1% markup,2026-01-05T16:15:36.886545
HP Omnibook X Flip 14-fm0100TU,130999,"₹123,139","₹118,490",Amazon,"₹124,370",❌ Competitor below our cost - 1% markup,2026-01-05T16:15:36.886552
HP Omnibook X Flip 14-fm0026TU,127999,"₹120,319","₹101,241",Amazon,"₹121,522",❌ Competitor below our cost - 1% markup,2026-01-05T16:15:36.886559
HP Omnibook X Flip 14-fm0099TU,120999,"₹113,739","₹103,499",Amazon,"₹114,876",❌ Competitor below our cost - 1% markup,2026-01-05T16:15:36.886572
HP Omnibook X Flip  14-fm0058TU,117999,"₹110,919","₹101,999",Croma/Amazon,"₹112,028",❌ Competitor below our cost - 1% markup,2026-01-05T16:15:36.886581
HP OmniBook X 14-fe0121QU,144999,"₹136,299","₹120,499",Amazon,"₹137,662",❌ Competitor below our cost - 1% markup,2026-01-05T16:15:36.886588
HP OmniBook X  14-fe1011QU,121499,"₹114,209","₹87,999",Croma,"₹115,351",❌ Competitor below our cost - 1% markup,2026-01-05T16:15:36.886595
HP Envy x360 14-fc0179TU,147499,"₹138,649","₹118,990",Amazon,"₹140,036",❌ Competitor below our cost - 1% markup,2026-01-05T16:15:36.886603
HP Envy x360 Laptop 14-fc0178TU,116499,"₹109,509","₹89,490",Amazon,"₹110,604",❌ Competitor below our cost - 1% markup,2026-01-05T16:15:36.886610
HP Omnibook 7 AI 14-fr0116TU,126999,"₹119,379","₹107,890",IndiaMART,"₹120,573",❌ Competitor below our cost - 1% markup,2026-01-05T16:15:36.886616
HP Omnibook 7 AI 14-fr0789TU,98499,"₹92,589","₹86,990",Croma,"₹93,515",❌ Competitor below our cost - 1% markup,2026-01-05T16:15:36.886623
HP Omnibook 7 14-fs0789TU,83999,"₹78,959","₹79,990",Retailers,"₹79,890",✅ UNDERCUT by ₹100 (Margin: ₹931),2026-01-05T16:15:36.886630
HP  Omnibook 7 Aero  13 -bg1456AU,100499,"₹94,469","₹85,490",Reliance Digital,"₹95,414",❌ Competitor below our cost - 1% markup,2026-01-05T16:15:36.886637
HP  Omnibook 7 Aero 13 -bg1678AU,91499,"₹86,009","₹76,490",Reliance Digital,"₹86,869",❌ Competitor below our cost - 1% markup,2026-01-05T16:15:36.886644
HP Omnibook 5 Flip 16-fb0001QU,82999,"₹78,019","₹68,890",Amazon,"₹78,799",❌ Competitor below our cost - 1% markup,2026-01-05T16:15:36.886650
HP Omnibook 5 Flip 14-fp0789TU,88199,"₹82,907",N/A,Not Found,"₹83,736",⚠️ Not found online - 1% markup on landing,2026-01-05T16:15:36.886657
HP OmniBook 5 Flip 14-fp0690TU,100999,"₹94,939",N/A,Not Found,"₹95,888",⚠️ Not found online - 1% markup on landing,2026-01-05T16:15:36.886665
HP OmniBook 5 Flip 14-fp0790TU,89699,"₹84,317",N/A,Not Found,"₹85,160",⚠️ Not found online - 1% markup on landing,2026-01-05T16:15:36.886671
HP OmniBook 5 NG AI PC 16-ag1048AU,88499,"₹83,189","₹81,499",Amazon,"₹84,021",❌ Competitor below our cost - 1% markup,2026-01-05T16:15:36.886677
HP OmniBook 5 NG AI PC 16-ag1046AU,91499,"₹86,009",N/A,Not Found,"₹86,869",⚠️ Not found online - 1% markup on landing,2026-01-05T16:15:36.886684
HP OmniBook 5 NG AI PC 16-ag1087AU,95499,"₹89,769",N/A,Not Found,"₹90,667",⚠️ Not found online - 1% markup on landing,2026-01-05T16:15:36.886689
HP OmniBook 5 NG AI 16-ag1045AU,83499,"₹78,489",N/A,Not Found,"₹79,274",⚠️ Not found online - 1% markup on landing,2026-01-05T16:15:36.886695
HP OmniBook 5 NG AI PC 16-ag1037AU,81499,"₹76,609","₹70,990",Amazon,"₹77,375",❌ Competitor below our cost - 1% markup,2026-01-05T16:15:36.886702
