Category Head,Hierarchy 2,Hierarchy 3,Strategic Pillar,Part Code,Product Name,MSP Rashi,MSP Supertron,MRP Rashi,MRP Supertron,Rashi Available,Supertron Available,GTM Matrix,Warranty,Remarks,Key Features,Short Description,Long Description,Final Price,Price Source,Lowest Online,Price Notes,Image
PW & Music,Tablet Keyboards Group,Tablet Keyboards Type,Mobility,920-012767,Logitech Combo Touch iPad Pro 11-inch (M4) - GRAPHITE - US - AMR+AP-425,13587,NA,24295,NA,YES,NO,Dual,1 Year,-,Comfortable typing | Durable keys | Wireless connectivity | Long battery life | Multi-device support | Quiet operation,Logitech Combo Touch iPad Pro 11-inch (M4) AMR+AP - Premium Logitech keyboard designed for comfort and performance.,"The Logitech Combo Touch iPad Pro 11-inch (M4) AMR+AP is a high-quality keyboard from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this keyboard delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",19495,Amazon,20495,Undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794366/Logitech/Products/Logitech_Combo_Touch_iPad_Pro_11-inch_M4_-_GRAPHITE_-_US_-_AMR_AP-425.webp
PW & Music,Tablet Keyboards Group,Tablet Keyboards Type,Mobility,920-012609,Logitech Combo Touch for iPad Air 13-inch (M2) - OXFORD GREY - US - AMR+AP-425,13587,NA,24295,NA,YES,NO,Dual,1 Year,-,Comfortable typing | Durable keys | Wireless connectivity | Long battery life | Multi-device support | Quiet operation,Logitech Combo Touch for iPad Air 13-inch (M2) AMR+AP - Premium Logitech keyboard designed for comfort and performance.,"The Logitech Combo Touch for iPad Air 13-inch (M2) AMR+AP is a high-quality keyboard from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this keyboard delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",19495,Amazon,20495,Undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794363/Logitech/Products/Logitech_Combo_Touch_for_iPad_Air_13-inch_M2_-_OXFORD_GREY_-_US_-_AMR_AP-425.webp
PW & Music,Tablet Keyboards Group,Tablet Keyboards Type,Mobility,920-012627,Logitech Combo Touch iPad Air 11-inch (M2) - OXFORD GREY - US - AMR+AP-425,11962,NA,20595,NA,YES,NO,Dual,1 Year,-,Comfortable typing | Durable keys | Wireless connectivity | Long battery life | Multi-device support | Quiet operation,Logitech Combo Touch iPad Air 11-inch (M2) AMR+AP - Premium Logitech keyboard designed for comfort and performance.,"The Logitech Combo Touch iPad Air 11-inch (M2) AMR+AP is a high-quality keyboard from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this keyboard delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",12201,MSP+2%,8090,MSP too high to undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794365/Logitech/Products/Logitech_Combo_Touch_iPad_Air_11-inch_M2_-_OXFORD_GREY_-_US_-_AMR_AP-425.webp
PW & Music,Tablet Keyboards Group,Tablet Keyboards Type,Mobility,920-011371,Combo Touch for iPad (10th gen) - OXFORD GREY - US - AMR-403,9328,NA,16495,NA,YES,NO,Dual,1 Year,-,Comfortable typing | Durable keys | Wireless connectivity | Long battery life | Multi-device support | Quiet operation,Combo Touch for iPad (10th gen) AMR - Premium Logitech keyboard designed for comfort and performance.,"The Combo Touch for iPad (10th gen) AMR is a high-quality keyboard from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this keyboard delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",9515,MSP+2%,2990,MSP too high to undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794305/Logitech/Products/Combo_Touch_for_iPad_10th_gen_-_OXFORD_GREY_-_US_-_AMR-403.webp
PW & Music,Tablet Keyboards Group,Tablet Keyboards Type,Mobility,920-011422,Slim Folio for iPad (10th gen) - GREY - US - APANZ-122,5557,NA,8995,NA,YES,NO,Dual,1 Year,-,Comfortable typing | Durable keys | Wireless connectivity | Long battery life | Multi-device support | Quiet operation,Slim Folio for iPad (10th gen) APANZ - Premium Logitech keyboard designed for comfort and performance.,"The Slim Folio for iPad (10th gen) APANZ is a high-quality keyboard from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this keyboard delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",7990,Amazon,8490,Undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794506/Logitech/Products/Slim_Folio_for_iPad_10th_gen_-_GREY_-_US_-_APANZ-122.webp
PW & Music,Tablet Keyboards Group,Tablet Keyboards Type,Mobility,920-012916,Keys-To-Go 2 - GRAPHITE - US - AMR+AP-425,4962,NA,8795,NA,YES,NO,Online & Brand Store,1 Year,Revised in (Q1'FY26),Comfortable typing | Durable keys | Wireless connectivity | Long battery life | Multi-device support | Quiet operation,Keys-To-Go 2 AMR+AP - Premium Logitech keyboard designed for comfort and performance.,"The Keys-To-Go 2 AMR+AP is a high-quality keyboard from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this keyboard delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",5871,Amazon,6371,Undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794345/Logitech/Products/Keys-To-Go_2_-_GRAPHITE_-_US_-_AMR_AP-425.webp
PW & Music,Tablet Keyboards Group,Tablet Keyboards Type,Mobility,920-012962,Keys-To-Go 2 - PALE GREY - US - AMR+AP-425,4962,NA,8795,NA,YES,NO,Online & Brand Store,1 Year,Revised in (Q1'FY26),Comfortable typing | Durable keys | Wireless connectivity | Long battery life | Multi-device support | Quiet operation,Keys-To-Go 2 AMR+AP - Premium Logitech keyboard designed for comfort and performance.,"The Keys-To-Go 2 AMR+AP is a high-quality keyboard from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this keyboard delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",5871,Amazon,6371,Undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794348/Logitech/Products/Keys-To-Go_2_-_PALE_GREY_-_US_-_AMR_AP-425.webp
PW & Music,Tablet Keyboards Group,Tablet Keyboards Type,Mobility,920-012963,Keys-To-Go 2 - LILAC - US - AMR+AP-425,4962,NA,8795,NA,YES,NO,Online & Brand Store,1 Year,Revised in (Q1'FY26),Comfortable typing | Durable keys | Wireless connectivity | Long battery life | Multi-device support | Quiet operation,Keys-To-Go 2 AMR+AP - Premium Logitech keyboard designed for comfort and performance.,"The Keys-To-Go 2 AMR+AP is a high-quality keyboard from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this keyboard delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",5871,Amazon,6371,Undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794347/Logitech/Products/Keys-To-Go_2_-_LILAC_-_US_-_AMR_AP-425.webp
PW & Music,Pc Keyboards & Combos Group,Cordless Keyboards Type,Ergo,920-012281,Wave Keys wireless ergonomic keyboard - GRAPHITE - US - LATA+AP-340,3870,NA,6995,NA,YES,NO,Dual,1 Year,-,Comfortable typing | Durable keys | Wireless connectivity | Long battery life | Multi-device support | Quiet operation,Wave Keys wireless ergonomic keyboard LATA+AP - Premium Logitech keyboard designed for comfort and performance.,"The Wave Keys wireless ergonomic keyboard LATA+AP is a high-quality keyboard from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this keyboard delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",3947,MSP+2%,2999,MSP too high to undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794510/Logitech/Products/Wave_Keys_wireless_ergonomic_keyboard_-_GRAPHITE_-_US_-_LATA_AP-340.webp
PW & Music,Pc Keyboards & Combos Group,Cordless Keyboards Type,Ergo,920-012282,Wave Keys wireless ergonomic keyboard - OFFWHITE - US - LATA+AP-340,3870,NA,6995,NA,YES,NO,Dual,1 Year,-,Comfortable typing | Durable keys | Wireless connectivity | Long battery life | Multi-device support | Quiet operation,Wave Keys wireless ergonomic keyboard - OFFWHITE LATA+AP - Premium Logitech keyboard designed for comfort and performance.,"The Wave Keys wireless ergonomic keyboard - OFFWHITE LATA+AP is a high-quality keyboard from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this keyboard delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",4995,Amazon,5495,Undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794511/Logitech/Products/Wave_Keys_wireless_ergonomic_keyboard_-_OFFWHITE_-_US_-_LATA_AP-340.webp
PW & Music,Pc Keyboards & Combos Group,Cordless Keyboards Type,Lifestyle,920-013084,POP ICON KEYS - OFF WHITE - US - APANZ-122,3473,3473,6695,6695,YES,YES,LFR,1 Year,Revised in (Q1'FY26),Comfortable typing | Durable keys | Wireless connectivity | Long battery life | Multi-device support | Quiet operation,POP ICON KEYS - OFF WHITE APANZ - Premium Logitech keyboard designed for comfort and performance.,"The POP ICON KEYS - OFF WHITE APANZ is a high-quality keyboard from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this keyboard delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",6495,Amazon,6995,Undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794480/Logitech/Products/POP_ICON_KEYS_-_OFF_WHITE_-_US_-_APANZ-122.webp
