Category Head,Hierarchy 2,Hierarchy 3,Strategic Pillar,Part Code,Product Name,MSP Rashi,MSP Supertron,MRP Rashi,MRP Supertron,Rashi Available,Supertron Available,GTM Matrix,Warranty,Remarks,Key Features,Short Description,Long Description,Final Price,Price Source,Lowest Online,Price Notes,Image
PW & Music,Webcams Group,Webcams Type,B2C Webcams,960-001548,Logitech MX Brio 4K Ultra HD Webcam - GRAPHITE - LATA+AP-340,14187,NA,24995,NA,YES,NO,Offline,1 Year,-,HD video quality | Clear audio | Auto-focus | Wide-angle lens | Easy setup | Universal compatibility,Logitech MX Brio 4K Ultra HD Webcam +AP - Premium Logitech webcam designed for comfort and performance.,"The Logitech MX Brio 4K Ultra HD Webcam +AP is a high-quality webcam from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this webcam delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",14471,MSP+2%,12490,MSP too high to undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794403/Logitech/Products/Logitech_MX_Brio_4K_Ultra_HD_Webcam_-_GRAPHITE_-_LATA_AP-340.webp
PW & Music,Webcams Group,Webcams Type,B2C Webcams,960-001090,Logitech® C922 Pro Stream Webcam - N/A - APANZ-122,8782,NA,15195,NA,YES,NO,Dual,2 Years,-,HD video quality | Clear audio | Auto-focus | Wide-angle lens | Easy setup | Universal compatibility,Logitech® C922 Pro Stream Webcam 122 - Premium Logitech webcam designed for comfort and performance.,"The Logitech® C922 Pro Stream Webcam 122 is a high-quality webcam from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this webcam delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",8958,MSP+2%,5381,MSP too high to undercut,
PW & Music,Webcams Group,Webcams Type,B2C Webcams,960-000770,Logitech® HD Pro Webcam C920 - N/A - APANZ-122,NA,5939,NA,10295,NO,YES,Dual,2 Years,Exclusive for Supertron (Q2'FY26),HD video quality | Clear audio | Auto-focus | Wide-angle lens | Easy setup | Universal compatibility,Logitech® HD Pro Webcam C920 122 - Premium Logitech webcam designed for comfort and performance.,"The Logitech® HD Pro Webcam C920 122 is a high-quality webcam from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this webcam delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",6058,MSP+2%,4489,MSP too high to undercut,
PW & Music,Webcams Group,Webcams Type,B2C Webcams,960-001423,Logitech Brio 500 Full HD Webcam - GRAPHITE - TWKOR-311,8688,8688,14999,14999,YES,YES,Dual,1 Year,-,HD video quality | Clear audio | Auto-focus | Wide-angle lens | Easy setup | Universal compatibility,Logitech Brio 500 Full HD Webcam 311 - Premium Logitech webcam designed for comfort and performance.,"The Logitech Brio 500 Full HD Webcam 311 is a high-quality webcam from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this webcam delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",8862,MSP+2%,4489,MSP too high to undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794358/Logitech/Products/Logitech_Brio_500_Full_HD_Webcam_-_GRAPHITE_-_TWKOR-311.webp
PW & Music,Webcams Group,Webcams Type,B2C Webcams,960-001429,Logitech Brio 500 Full HD Webcam - OFF-WHITE - TWKOR-311,8688,8688,14999,14999,YES,YES,Dual,1 Year,-,HD video quality | Clear audio | Auto-focus | Wide-angle lens | Easy setup | Universal compatibility,Logitech Brio 500 Full HD Webcam 311 - Premium Logitech webcam designed for comfort and performance.,"The Logitech Brio 500 Full HD Webcam 311 is a high-quality webcam from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this webcam delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",8862,MSP+2%,4489,MSP too high to undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794359/Logitech/Products/Logitech_Brio_500_Full_HD_Webcam_-_OFF-WHITE_-_TWKOR-311.webp
PW & Music,Webcams Group,Webcams Type,B2C Webcams,960-001433,Logitech Brio 500 Full HD Webcam - ROSE - TWKOR-311,8688,8688,14999,14999,YES,YES,Dual,1 Year,-,HD video quality | Clear audio | Auto-focus | Wide-angle lens | Easy setup | Universal compatibility,Logitech Brio 500 Full HD Webcam 311 - Premium Logitech webcam designed for comfort and performance.,"The Logitech Brio 500 Full HD Webcam 311 is a high-quality webcam from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this webcam delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",8862,MSP+2%,3799,MSP too high to undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794360/Logitech/Products/Logitech_Brio_500_Full_HD_Webcam_-_ROSE_-_TWKOR-311.webp
PW & Music,Webcams Group,Webcams Type,B2C Webcams,960-001437,Logitech Brio 300 Full HD webcam - GRAPHITE - TWKOR-311,4619,4619,7499,7499,YES,YES,Dual,1 Year,-,HD video quality | Clear audio | Auto-focus | Wide-angle lens | Easy setup | Universal compatibility,Logitech Brio 300 Full HD webcam 311 - Premium Logitech webcam designed for comfort and performance.,"The Logitech Brio 300 Full HD webcam 311 is a high-quality webcam from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this webcam delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",4711,MSP+2%,4489,MSP too high to undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794355/Logitech/Products/Logitech_Brio_300_Full_HD_webcam_-_GRAPHITE_-_TWKOR-311.webp
PW & Music,Webcams Group,Webcams Type,B2C Webcams,960-001443,Logitech Brio 300 Full HD webcam - OFF-WHITE - TWKOR-311,4619,4619,7499,7499,YES,YES,Dual,1 Year,-,HD video quality | Clear audio | Auto-focus | Wide-angle lens | Easy setup | Universal compatibility,Logitech Brio 300 Full HD webcam 311 - Premium Logitech webcam designed for comfort and performance.,"The Logitech Brio 300 Full HD webcam 311 is a high-quality webcam from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this webcam delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",4711,MSP+2%,4489,MSP too high to undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794356/Logitech/Products/Logitech_Brio_300_Full_HD_webcam_-_OFF-WHITE_-_TWKOR-311.webp
PW & Music,Webcams Group,Webcams Type,B2C Webcams,960-001449,Logitech Brio 300 Full HD webcam - ROSE - TWKOR-311,4619,4619,7499,7499,YES,YES,Dual,1 Year,-,HD video quality | Clear audio | Auto-focus | Wide-angle lens | Easy setup | Universal compatibility,Logitech Brio 300 Full HD webcam 311 - Premium Logitech webcam designed for comfort and performance.,"The Logitech Brio 300 Full HD webcam 311 is a high-quality webcam from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this webcam delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",4711,MSP+2%,3799,MSP too high to undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794357/Logitech/Products/Logitech_Brio_300_Full_HD_webcam_-_ROSE_-_TWKOR-311.webp
PW & Music,Webcams Group,Webcams Type,B2C Webcams,960-001587,Logitech Brio 100 Full HD Webcam - GRAPHITE - TWKOR-311,2200,2200,3899,3899,YES,YES,Dual,1 Year,-,HD video quality | Clear audio | Auto-focus | Wide-angle lens | Easy setup | Universal compatibility,Logitech Brio 100 Full HD Webcam 311 - Premium Logitech webcam designed for comfort and performance.,"The Logitech Brio 100 Full HD Webcam 311 is a high-quality webcam from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this webcam delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",4289,Amazon,4489,Undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794352/Logitech/Products/Logitech_Brio_100_Full_HD_Webcam_-_GRAPHITE_-_TWKOR-311.webp
PW & Music,Webcams Group,Webcams Type,B2C Webcams,960-001618,Logitech Brio 100 Full HD Webcam - OFF-WHITE - TWKOR-311,2200,2200,3899,3899,YES,YES,Dual,1 Year,-,HD video quality | Clear audio | Auto-focus | Wide-angle lens | Easy setup | Universal compatibility,Logitech Brio 100 Full HD Webcam 311 - Premium Logitech webcam designed for comfort and performance.,"The Logitech Brio 100 Full HD Webcam 311 is a high-quality webcam from Logitech, built with precision engineering and user comfort in mind. Whether you're working from home, in the office, or gaming, this webcam delivers exceptional performance and reliability. Features include advanced connectivity options, durable construction, and the trusted quality that Logitech is known for. Perfect for professionals and enthusiasts alike who demand the best from their peripherals.",3599,Amazon,3799,Undercut,https://res.cloudinary.com/dvleiqhbw/image/upload/v1767794353/Logitech/Products/Logitech_Brio_100_Full_HD_Webcam_-_OFF-WHITE_-_TWKOR-311.webp
