Sub Brand,Model,Part no.,Processor,RAM,Storage,Graphics,OS/MSO,Features,Display,Colour,Service,Category, SRP ,SRP without Tax,New Bag Price,Bag without TAX,SRP-BAG without tax,NDP,MRP,Final Price,Image
Omnibook Ultra Flip,HP Omnibook Ultra  Flip 14-fh0368TU,C88U8PA,Ultra 9-288V (8C) 48 NPU TOPs,32GB 8533 LPDDR5X on-board,1TB PCIe Gen4,Intel Arc Graphics,"Next Gen Windows, Copilot +, MS Office Home 2024 India + 1yr M365 Basic  & MISC PC Game Pass","Next Gen  AI PCwith 48 TOPS, 9 MP  IR camera, Audio by Polystudio, Polycamera , My HP Apps- Smart Sense , Audio Control , Presense Sensing , Well being ,    Windows studio effect and  HP AI companion, Pen , Wolf security","Touch/14.0 2.8K (2880x1800) OLED Low Blue Light VRR 120Hz 400 nits, Gorilla Glass 5",Athmospheric Blue,"Premium care ,International warranty in Select Countries , 1 year onsite warranty",Super Premium,202999,172033,,,172033,160316,231567,,
Omnibook Ultra Flip,HP Omnibook Ultra  Flip 14-fh0369TU,C88TPPA,Ultra 9-288V (8C) 48 NPU TOPs,32GB 8533 LPDDR5X on-board,2TB PCIe Gen4,Intel Arc Graphics,"Next Gen Windows, Copilot +, MS Office Home 2024 India + 1yr M365 Basic  & MISC PC Game Pass","Next Gen  AI PCwith 48 TOPS, 9 MP  IR camera, Audio by Polystudio, Polycamera , My HP Apps- Smart Sense , Audio Control , Presense Sensing , Well being ,    Windows studio effect and  HP AI companion, Pen , Wolf security","Touch/14.0 2.8K (2880x1800) OLED Low Blue Light VRR 120Hz 400 nits, Gorilla Glass 5",Athmospheric Blue ,"Premium care ,International warranty in Select Countries , 1 year onsite warranty",Super Premium,217999,184745,,,184745,171989,248429,,
Omnibook Ultra  Flip,HP Omnibook Ultra Flip 14-fh0029TU,B13YZPA,Ultra 7-258V (8C) next gen AI PC,32GB 8533 LPDDR5X on-board,1TB SSD,Intel Arc Graphics,Windows  11  Microsoft Office  Home  & Student Edition 2021,"On device AI processing with 48 TOPS, Longest battery life with upto 21 hours*, HP Wolf Security, 9 MP auto switch HDR AI IR camera, Audio by Polystudio, Polycamera Pro app with AI enhancements, Gesture control, Real time translations during video calls, Thin and light (1.35Kg), Windows studio effect and AI companion, Pen","Touch/14.0 2.8K (2880x1800) OLED Low Blue Light VRR 120Hz 400 nits , Gorilla Glass 5",Eclipse Gray,"Premium care ,International warranty in Select Countries , 1 year onsite warranty",Super Premium,197999,167796,,,167796,156424,225946,,
Omnibook Ultra Flip,HP Omnibook Ultra Flip 14-fh0046TU,B13Y0PA,Ultra 7-258V (8C) next gen AI PC,32GB 8533 LPDDR5X on-board,1TB SSD,Intel Arc Graphics,Windows  11  Microsoft Office  Home  & Student Edition 2021,"On device AI processing with 48 TOPS, Longest battery life with upto 21 hours*, HP Wolf Security, 9 MP auto switch HDR AI IR camera, Audio by Polystudio, Polycamera Pro app with AI enhancements, Gesture control, Real time translations during video calls, Thin and light (1.35Kg), Windows studio effect and AI companion, Pen","Touch/14.0 2.8K (2880x1800) OLED Low Blue Light VRR 120Hz 400 nits , Gorilla Glass 5",Athmospheric Blue,"Premium care ,International warranty in Select Countries , 1 year onsite warranty",Super Premium,197999,167796,,,167796,156424,225946,,
Omnibook Ultra Flip,HP Omnibook Ultra Flip 14-fh0026TU,B13XRPA,Ultra 7-256V (8C) 47 NPU TOPs ,16GB LPDDR5X 8533 on-board,1TB SSD,Intel Arc Graphics,Windows  11  Microsoft Office  Home  & Student Edition 2021,"On device AI processing with 48 TOPS, Longest battery life with upto 21 hours*, HP Wolf Security, 9 MP auto switch HDR AI IR camera, Audio by Polystudio, Polycamera Pro app with AI enhancements, Gesture control, Real time translations during video calls, Thin and light (1.35Kg), Windows studio effect and AI companion, Pen","Touch/14.0 2.8K (2880x1800) OLED Low Blue Light VRR 120Hz 400 nits , Gorilla Glass 5",Eclipse Gray,"Premium care ,International warranty in Select Countries , 1 year onsite warranty",Super Premium,187999,159321,,,159321,148642,214705,,
Omnibook X Flip,HP Omnibook X Flip 14-fm0029TU,B91BSPA,Ultra 7-258V (8C) 47 NPU TOPs ,32GB LPDDR5X 8533 on-board,1TB PCIe Gen4 ,Intel Arc 140V GPU,"Next Gen Windows, Copilot +, MS Office Home 2024 India + 1yr M365 Basic  & MISC PC Game Pass","Next Gen AI PC with 47 TOPS, 5 MP  IR camera, Audio by Polystudio, Polycamera , My HP Apps- Smart Sense , Audio Control , Presense Sensing , Well being ,    Windows studio effect and  HP AI companion, Pen, Lattice - Less Keyboard",Touch/14.0 3K (2880x1800) OLED Low Blue Light 48-120Hz VRR 400 nits,Atmospheric Blue AI logo,"Premium care ,International warranty in Select Countries , 1 year onsite warranty",Super Premium,149999,127118,3052,2586,124531,114359,165185,,
Omnibook X Flip,HP Omnibook X Flip 14-fm0100TU,C1RB2PA,Ultra 7-256V (8C) 47 NPU TOPs  ,16GB LPDDR5X 8533 on-board ,1TB PCIe Gen4 ,Intel Arc 140V GPU,MS Office Home 2024 India + 1yr M365 Basic  [B21ZKAV] & MISC PC Game Pass DA 3M  ,"Next Gen AI PC with 47 TOPS, 5 MP  IR camera, Audio by Polystudio, Polycamera , My HP Apps- Smart Sense , Audio Control , Presense Sensing , Well being ,    Windows studio effect and  HP AI companion, Pen, Lattice - Less Keyboard",Touch/14.0 3K (2880x1800) OLED Low Blue Light 48-120Hz VRR 400 nits  ,Atmospheric Blue AI logo,"Premium care ,International warranty in Select Countries , 1 year onsite warranty",Super Premium,130999,111016,3052,2586,108430,99573,143828,,
Omnibook X Flip,HP Omnibook X Flip 14-fm0026TU,B91BPPA,Ultra 7-256V (8C) 47 NPU TOPs ,16GB LPDDR5X 8533 on-board,512GB PCIe Gen4 ,Intel Arc 140V GPU,"Next Gen Windows, Copilot +, MS Office Home 2024 India + 1yr M365 Basic  & MISC PC Game Pass","Next Gen  AI PCwith 47 TOPS, 5 MP  IR camera, Audio by Polystudio, Polycamera , My HP Apps- Smart Sense , Audio Control , Presense Sensing , Well being ,    Windows studio effect and  HP AI companion, Pen , Lattice - Less Keyboard",Touch/14.0 3K (2880x1800) OLED Low Blue Light 48-120Hz VRR 400 nits,Atmospheric Blue AI logo,"Premium care ,International warranty in Select Countries , 1 year onsite warranty",Super Premium,127999,108474,3052,2586,105887,97238,140455,,
Omnibook X Flip,HP Omnibook X Flip 14-fm0099TU,C1QV9PA,Ultra 5-226V (8C) 40 NPU TOPs,16GB LPDDR5X 8533 on-board,1TB,Intel Arc 130V GPU,MS Office Home 2024 India + 1yr M365 Basic & MISC PC Game Pass DA 3M  ,"Next Gen AI PC with 40 TOPS, 5 MP  IR camera, Audio by Polystudio, Polycamera , My HP Apps- Smart Sense , Audio Control , Presense Sensing , Well being ,    Windows studio effect and  HP AI companion, Pen, Lattice - Less Keyboard",Touch/14.0 3K (2880x1800) OLED Low Blue Light 48-120Hz VRR 400 nits,Meteor Silver,"Premium care ,International warranty in Select Countries , 1 year onsite warranty",Super Premium,120999,102542,3052,2586,99955,91790,132586,,
Omnibook X Flip,HP Omnibook X Flip  14-fm0058TU,BH7C0PA,Ultra 5-226V (8C) 40 NPU TOPs  ,16GB LPDDR5X 8533 on-board ,512GB PCIe Gen4 ,Intel Arc 130V GPU,"Next Gen Windows, Copilot +, MS Office Home 2024 India + 1yr M365 Basic  & MISC PC Game Pass","Next Gen AI PC with 40 TOPS, 5 MP  IR camera, Audio by Polystudio, Polycamera , My HP Apps- Smart Sense , Audio Control , Presense Sensing , Well being ,    Windows studio effect and  HP AI companion, Pen, Lattice - Less Keyboard",Touch/14.0 3K (2880x1800) OLED Low Blue Light 48-120Hz VRR 400 nits,Meteor Silver AI logo ,"Premium care ,International warranty in Select Countries , 1 year onsite warranty",Super Premium,117999,99999,3052,2586,97413,89456,129214,,
