Row,Series,MTM,Effective_T3,Original_Final_Price,Adjusted_Final_Price,image
5,Flex 5,82R900D8IN,61771.56,52890.0,62080.42,
6,Flex 5,82XX00G3IN,60263.27,64190.0,64190.0,
7,Flex 5,82R900HJIN,60912.82,67899.0,67899.0,
8,Flex 5,82R900HFIN,60426.04,52890.0,60728.17,
9,Flex 5i,82Y00052IN,76757.83,34450.0,77141.62,
10,Flex 5i,82Y0004RIN,51398.54,64190.0,64190.0,
11,Flex 5i,82R700KHIN,48470.7,52890.0,52890.0,
12,Ideapad 5 2-in-1,83KT000LIN,90668.75,85300.0,91122.09,
13,Ideapad 5 2-in-1,83KR000HIN,81912.29,51800.0,82321.85,
14,Ideapad 5 2-in-1,83KX004RIN,80737.34,51800.0,81141.03,
15,Ideapad 5 2-in-1,83DT004SIN,76845.86,51800.0,77230.09,
16,Ideapad 5 2-in-1,83DR007DIN,74413.55,51800.0,74785.62,
17,Ideapad 5 2-in-1,83KT0052IN,69413.52,51800.0,69760.59,
18,Ideapad 5 2-in-1,83KX004QIN,70463.68,59400.0,70816.0,
19,Ideapad 5 2-in-1,83DR007CIN,69548.0,51800.0,69895.74,
20,Ideapad Pro 5,83JK000AIN,119168.78,124890.0,124890.0,
21,Ideapad Pro 5,83D5000SIN,126952.36,124690.0,127587.12,
22,Ideapad Pro 5,83D4002NIN,121114.67,127890.0,127890.0,
23,IdeaPad Slim 3 ,83K100RWIN,67236.67,68581.41,68581.41,
24,IdeaPad Slim 3 ,83K100C6IN,60997.44,62217.39,62217.39,
25,IdeaPad Slim 3 ,83K100C7IN,61970.39,49890.0,62280.24,
26,IdeaPad Slim 3 ,83ER00KSIN,50870.58,50599.0,51124.93,
27,IdeaPad Slim 3 ,83ER00MCIN,51313.38,40890.0,51569.95,
28,IdeaPad Slim 3 ,82X700G4IN,43629.94,38799.0,43848.09,
29,IdeaPad Slim 3 ,82X700HJIN,42486.29,53890.0,53890.0,
30,IdeaPad Slim 3 ,83N3002QIN,56177.04,50599.0,56457.93,
31,IdeaPad Slim 3 ,83K000B8IN,60910.96,69890.0,69890.0,
32,IdeaPad Slim 3 ,83K100HSIN,63138.51,45890.0,63454.2,
33,Ideapad Slim 5,83HS000XIN,70520.38,59880.0,70872.98,
34,Ideapad Slim 5,83HR000YIN,65570.68,79790.0,79790.0,
35,Ideapad Slim 5,83DC00ACIN,66206.01,65890.0,66537.04,
36,Ideapad Slim 5,83J10067IN,61398.99,49890.0,61705.98,
37,Ideapad Slim 5,83DC0042IN,72083.93,49890.0,72444.35,
38,Ideapad Slim 5,83DC0094IN,85115.61,49890.0,85541.18,
39,Ideapad Slim 5,83HX001NIN,79111.8,44190.0,79507.36,
40,Ideapad Slim 5,83HX00A5IN,79111.8,67890.0,79507.36,
41,Ideapad Slim 5,83HX0096IN,70463.68,49890.0,70816.0,
42,Ideapad Slim 5,83HL003NIN,67815.33,59880.0,68154.41,
43,Legion 5,83DG004SIN,143129.29,129890.0,143844.94,
44,Legion 5,83DG009DIN,165507.13,10890.0,166334.66,
45,Legion 5,83DG00LEIN,126589.49,37890.0,127222.44,
46,Legion 5,83DG00LFIN,143616.08,10890.0,144334.16,
47,Legion 5,83JJ000DIN,119292.07,84390.0,119888.53,
48,Legion 5,83JJ0010IN,119778.55,129890.0,129890.0,
49,Legion 5,83M00073IN,135976.04,129890.0,136655.92,
50,Legion 5,83M00074IN,145705.51,129890.0,146434.04,
51,Legion 5,83F0005VIN,199415.42,129890.0,200412.49,
52,Legion 5,83F0005WIN,169970.0,129890.0,170819.85,
53,Legion 5 Pro,82WM00FEIN,151344.96,129890.0,152101.68,
54,Legion 5 Pro,82WM00FFIN,193236.1,44190.0,194202.28,
55,Legion 5 Pro,83DF00JBIN,153345.55,129890.0,154112.28,
56,Legion 7i,83FD000XIN,203938.53,198890.0,204958.22,
57,Legion 7i,83FD000YIN,172317.53,198890.0,198890.0,
58,Legion 7i,83FD0010IN,174709.59,107790.0,175583.13,
59,Legion GO,83E1004MIN,64464.18,73890.0,73890.0,
60,Legion Pro5,83DF003NIN,152858.75,265790.0,265790.0,
61,Legion Pro5,83DF003PIN,194209.09,129890.0,195180.13,
62,Legion Pro5,83F3007CIN,186855.52,265790.0,265790.0,
63,Legion Pro5,83F20037IN,189430.95,194890.0,194890.0,
64,Legion Pro5,83F20036IN,208889.91,10890.0,209934.36,
65,Legion Pro5,83F3007BIN,208889.91,34890.0,209934.36,
66,Legion Pro7,83DE001HIN,260292.85,10890.0,261594.31,
67,Legion Pro7,83DE001JIN,308940.37,10890.0,310485.07,
68,Legion Pro7,83F500D7IN,252672.56,10890.0,253935.92,
69,Legion Pro7,83F500D9IN,320776.89,10890.0,322380.78,
70,Legion Pro7,83F500D8IN,386937.34,10890.0,388872.03,
71,LOQ,83DV00XFIN,93901.01,92300.0,94370.52,
72,LOQ,83DV01A5IN,94661.16,99400.0,99400.0,
73,LOQ,83DV00BCIN,87599.44,107790.0,107790.0,
