,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Lenovo Notebook Price List - 1st Jan'26 to 31st Jan '26,,,,,,,,,,,,,,,,,,,,,,,
,Flex 5i,Convertible,82R700KHIN,i3-1215U,,"8GB, 512GB SSD",WINDOWS 11 HOME 64 SL,OFFICE H&S 2021  ,Integrated Intel® UHD Graphics,"14 WUXGA (1920x1200) IPS 300nits Glossy, 45% NTSC, TÜV Low Blue Light, Glass, Touch",Storm Grey,1.5 kg,GX40Q75210 ,1 Year Onsite,1 Year Hard bundled Premium Care,1 Year ADP,Backlit,FPR Touch Style,Mainstream,51470,3000,48471,52890,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/82R700KHIN.webp
,Flex 5,Convertible,82R900D8IN,RYZEN 7 5700U,,"16GB, 512GB SSD",WINDOWS 11 HOME 64 SL,OFFICE H&S 2021  ,Integrated AMD Radeon Graphics,"14 WUXGA (1920x1200) IPS 300nits Glossy, Glass, Touch",Storm Grey,1.55 kg,GX40Q75210 ,1 Year Onsite,1 Year Hard bundled Premium Care,1 Year ADP,Backlit ,FPR Touch Style,Mainstream,61772,,61772,62080.42,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/82R900D8IN.webp
,Flex 5,Convertible,82R900HFIN,RYZEN 7 5700U,,"16GB, 512GB SSD",WINDOWS 11 HOME 64 SL,OFFICE H&S 2021,Integrated AMD Radeon Graphics,"14 WUXGA (1920x1200) IPS 300nits Glossy, Glass, Touch",Storm Grey,1.55 kg,GX40Q75210 ,1 Year Onsite,1 Year Hard bundled Premium Care,1 Year ADP,Backlit ,FPR Touch Style,Mainstream,60426,,60426,60728.17,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/82R900HFIN.webp
,Flex 5,Convertible,82R900HJIN,RYZEN 7 5700U,,"16GB, 512GB SSD",WINDOWS 11 HOME 64 SL,OFFICE H&S 2024,Integrated AMD Radeon Graphics,"14 WUXGA (1920x1200) IPS 300nits Glossy, Glass, Touch",Storm Grey,1.55 kg,GX40Q75210 ,1 Year Onsite,1 Year Hard bundled Premium Care,1 Year ADP,Backlit ,FPR Touch Style,Mainstream,60913,,60913,67899,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/82R900HJIN.webp
,Legion 5 Pro,Gaming,82WM00FEIN,R9 7945HX,,"16GB, 1TB SSD",Windows 11,Office 2021,RTX 4060 8GB,16_WQXGA_AG_500N_240_P3,ONYX_GREY,2.5Kg,GX41C86982,1 Year Onsite,1 Year LUS,1 Year ADP,4 Zone RGB,-,Premium,171345,20000,151345,152101.68,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/82WM00FEIN.webp
,Legion 5 Pro,Gaming,82WM00FFIN,R9 7945HX,,"32GB, 1TB SSD",Windows 11,Office 2021,RTX 4070 8GB,16_WQXGA_AG_500N_240_P3,ONYX_GREY,2.5Kg,GX41C86982,1 Year Onsite,1 Year LUS,1 Year ADP,4 Zone RGB,-,Premium,193236,,193236,194202.28,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/82WM00FFIN.webp
,IdeaPad Slim 3 ,Thin & Light,82X700G4IN,i3-1315U,,"8GB, 512GB SSD",WINDOWS 11 HOME 64 SL,OFFICE HOME 2024,Integrated Intel UHD Graphics,15.6 FHD (1920x1080) 250nits Anti-glare,Arctic Grey,1.62Kg,GX40Q75210 ,1 Year Onsite,,1 Year ADP,Backlit,-,Entry,43630,,43630,43848.09,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/82X700G4IN.webp
,IdeaPad Slim 3 ,Thin & Light,82X700HJIN,i3-1315U,,"8GB, 512GB SSD",WINDOWS 11 HOME 64 SL,OFFICE HOME 2024,Integrated Intel UHD Graphics,15.6 FHD (1920x1080) 250nits Anti-glare,Arctic Grey,1.62Kg,GX40Q75210 ,1 Year Onsite,,1 Year ADP,Backlit,-,Entry,42486,,42486,53890,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/82X700HJIN.webp
,Flex 5,Convertible,82XX00G3IN,RYZEN 5 5625U,,"16GB, 512GB SSD",WINDOWS 11 HOME 64 SL,OFFICE H&S 2024,Integrated AMD Radeon Graphics,"14 WUXGA (1920x1200) IPS 300nits Glossy, 45% NTSC, 60Hz, TÜV Low Blue Light, Glass, Touch",Arctic Grey,1.55 kg,GX40Q75210 ,1 Year Onsite,1 Year Hard bundled Premium Care,1 Year ADP,Backlit ,FPR Touch Style,Mainstream,66264,6000,60263,64190,https://res.cloudinary.com/dvleiqhbw/image/upload/v1/Laptop/Lenovo/82XX00G3IN.webp
